match_id,home_team,away_team,score_90min,stage,match_date,is_extra_time,is_penalty,source,source_priority,source_url,confidence
M-1958-25,Northern Ireland,Czechoslovakia,1-1,group stage,1958-06-17 00:00:00+00:00,True,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-26,Wales,Hungary,2-1,group stage,1958-06-17 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-27,Soviet Union,England,1-0,group stage,1958-06-17 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-28,Brazil,Wales,1-0,quarter-finals,1958-06-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-29,France,Northern Ireland,4-0,quarter-finals,1958-06-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-30,Sweden,Soviet Union,2-0,quarter-finals,1958-06-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-31,West Germany,Yugoslavia,1-0,quarter-finals,1958-06-19 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-32,Brazil,France,5-2,semi-finals,1958-06-24 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-33,Sweden,West Germany,3-1,semi-finals,1958-06-24 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-34,France,West Germany,6-3,third-place match,1958-06-28 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1958-35,Brazil,Sweden,5-2,final,1958-06-29 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-01,Uruguay,Colombia,2-1,group stage,1962-05-30 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-02,Chile,Switzerland,3-1,group stage,1962-05-30 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-03,Brazil,Mexico,2-0,group stage,1962-05-30 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
M-1962-04,Argentina,Bulgaria,1-0,group stage,1962-05-30 00:00:00+00:00,False,False,kaggle,1,local:kaggle-worldcup-and-international-results,0.8
